"1991 - 1992 State to State Migration Flows  --  OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6"
",,,,,,"
",,,,,,"
"FROM:,,04-Arizona,,,,"
",,,,,,"
",,,,PERCENT,,PERCENT"
",,,NUMBER OF,OF TOTAL,NUMBER OF,OF TOTAL"
"TO:,,,  RETURNS,MIGRANTS,    EXEMPTIONS,MIGRANTS"
"96,,TOTAL FLOW,63456,,130324,"
"06,Ca,California,12453,19.62,23849,18.3"
"48,Tx,Texas,4511,7.11,9880,7.58"
"35,Nm,New Mexico,3691,5.82,9877,7.58"
"08,Co,Colorado,3662,5.77,7234,5.55"
"32,Nv,Nevada,2972,4.68,5878,4.51"
"53,Wa,Washington,2970,4.68,5882,4.51"
"57,FR,Foreign,2373,3.74,5016,3.85"
"17,Il,Illinois,2092,3.3,3868,2.97"
"12,Fl,Florida,1921,3.03,3864,2.96"
"41,Or,Oregon,1713,2.7,3497,2.68"
"49,Ut,Utah,1582,2.49,3904,3"
"39,Oh,Ohio,1377,2.17,2754,2.11"
"26,Mi,Michigan,1306,2.06,2502,1.92"
"27,Mn,Minnesota,1165,1.84,2220,1.7"
"29,Mo,Missouri,1097,1.73,2310,1.77"
"36,Ny,New York,1083,1.71,1944,1.49"
"51,Va,Virginia,947,1.49,2029,1.56"
"18,In,Indiana,939,1.48,1914,1.47"
"55,Wi,Wisconsin,935,1.47,1757,1.35"
"42,Pa,Pennsylvania,933,1.47,1761,1.35"
"40,Ok,Oklahoma,927,1.46,2030,1.56"
"19,Ia,Iowa,908,1.43,1767,1.36"
"37,Nc,North Carolina,883,1.39,1852,1.42"
"13,Ga,Georgia,823,1.3,1755,1.35"
"20,Ks,Kansas,821,1.29,1719,1.32"
"16,Id,Idaho,737,1.16,1777,1.36"
"02,Ak,Alaska,649,1.02,1442,1.11"
"47,Tn,Tennessee,618,0.97,1405,1.08"
"15,Hi,Hawaii,574,0.9,1080,0.83"
"31,Ne,Nebraska,557,0.88,1130,0.87"
"30,Mt,Montana,556,0.88,1135,0.87"
"05,Ar,Arkansas,518,0.82,1163,0.89"
"34,Nj,New Jersey,493,0.78,913,0.7"
"24,Md,Maryland,488,0.77,974,0.75"
"56,Wy,Wyoming,453,0.71,882,0.68"
"25,Ma,Massachusetts,424,0.67,717,0.55"
"22,La,Louisiana,400,0.63,881,0.68"
"46,Sd,South Dakota,384,0.61,741,0.57"
"21,Ky,Kentucky,376,0.59,781,0.6"
"45,Sc,South Carolina,357,0.56,723,0.55"
"01,Al,Alabama,349,0.55,789,0.61"
"38,Nd,North Dakota,263,0.41,499,0.38"
"09,Ct,Connecticut,236,0.37,400,0.31"
"28,Ms,Mississippi,230,0.36,486,0.37"
"23,Me,Maine,134,0.21,257,0.2"
"54,Wv,West Virginia,134,0.21,276,0.21"
"33,Nh,New Hampshire,127,0.2,232,0.18"
"11,Dc,District of Columbia,94,0.15,130,0.1"
"10,De,Delaware,80,0.13,168,0.13"
"44,Ri,Rhode Island,73,0.12,150,0.12"
"50,Vt,Vermont,68,0.11,130,0.1"
"04,,State Non-Migrant,1236886,,2834454,"
",,,,,,"
"SOURCE:  INTERNAL REVENUE SERVICE,,,,,,"
"                  STATISTICS OF INCOME ,,,,,,"
