"1993 - 1994  State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"TO:,SOUTH DAKOTA,,NUMBER OF,NUMBER OF,TOTAL MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"46, ,Total Inflow,11355,23252,289836"
"27,Mn,Minnesota,1550,2900,40229"
"19,Ia,Iowa,1167,2280,34418"
"6,Ca,California,863,1844,22008"
"31,Ne,Nebraska,856,1725,18343"
"38,ND,North Dakota,773,1569,17086"
"8,Co,Colorado,601,1233,15181"
"57,FR,Foreign,470,916,8098"
"56,Wy,Wyoming,459,944,9400"
"48,Tx,Texas,408,919,17341"
"4,Az,Arizona,302,588,7007"
"53,Wa,Washington,292,640,6267"
"30,Mt,Montana,245,500,4753"
"12,Fl,Florida,243,491,5497"
"17,Il,Illinois,234,470,6822"
"55,Wi,Wisconsin,225,484,6062"
"20,Ks,Kansas,216,435,5524"
"29,Mo,Missouri,170,372,5029"
"26,Mi,Michigan,145,341,4232"
"51,Va,Virginia,141,331,4323"
"36,NY,New York,139,289,3757"
"39,Oh,Ohio,124,261,3870"
"41,Or,Oregon,120,237,2159"
"32,Nv,Nevada,118,258,2831"
"40,Ok,Oklahoma,103,237,2805"
"18,In,Indiana,98,221,2859"
"37,NC,North Carolina,96,215,2274"
"13,Ga,Georgia,91,174,1843"
"35,NM,New Mexico,90,189,2301"
"2,Ak,Alaska,86,206,2524"
"42,Pa,Pennsylvania,83,160,1952"
"16,Id,Idaho,74,184,1770"
"49,Ut,Utah,74,186,2152"
"24,Md,Maryland,72,147,2923"
"47,Tn,Tennessee,70,137,1471"
"5,Ar,Arkansas,53,113,1039"
"45,SC,South Carolina,52,98,1007"
"21,Ky,Kentucky,52,112,2036"
"23,Me,Maine,51,150,1280"
"22,La,Louisiana,47,89,1201"
"15,Hi,Hawaii,47,98,1370"
"1,Al,Alabama,45,99,1176"
"25,Ma,Massachusetts,43,80,1275"
"34,NJ,New Jersey,39,83,1696"
"28,Ms,Mississippi,35,62,566"
"9,Ct,Connecticut,26,46,669"
"33,NH,New Hampshire,18,39,365"
"10,De,Delaware,16,43,279"
"54,WV,West Virginia,15,27,261"
"11,DC,District of Columbia,8,14,273"
"44,RI,Rhode Island,5,10,77"
"50,Vt,Vermont,5,6,155"
"46,SD,State Non-Migrant,250292,585938,7393067"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
