"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,56-Wyoming,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Wyoming,10620,22351,258899"
"08,Co,Colorado,1670,3304,40305"
"30,Mt,Montana,773,1607,16511"
"49,Ut,Utah,679,1545,16499"
"48,Tx,Texas,641,1545,20879"
"06,Ca,California,593,1098,13246"
"31,Ne,Nebraska,447,1017,9115"
"46,SD,South Dakota,443,956,8652"
"04,Az,Arizona,442,813,9880"
"16,Id,Idaho,402,884,9490"
"53,Wa,Washington,399,788,10157"
"32,Nv,Nevada,335,676,8535"
"57,FR,Foreign,314,681,6629"
"41,Or,Oregon,225,451,6114"
"35,NM,New Mexico,211,520,5937"
"12,Fl,Florida,201,416,5304"
"40,Ok,Oklahoma,179,422,4940"
"29,Mo,Missouri,177,390,4158"
"20,Ks,Kansas,171,387,3730"
"17,Il,Illinois,165,375,4179"
"27,Mn,Minnesota,145,282,3206"
"38,ND,North Dakota,133,263,3485"
"51,Va,Virginia,133,290,3634"
"02,Ak,Alaska,117,220,3329"
"55,Wi,Wisconsin,113,229,2332"
"26,Mi,Michigan,110,229,2586"
"42,Pa,Pennsylvania,108,223,2604"
"19,Ia,Iowa,106,234,2451"
"05,Ar,Arkansas,104,223,2454"
"18,In,Indiana,96,244,3725"
"39,Oh,Ohio,94,209,3879"
"36,NY,New York,93,162,2014"
"13,Ga,Georgia,92,191,2057"
"37,NC,North Carolina,91,192,2079"
"22,La,Louisiana,77,176,2077"
"47,Tn,Tennessee,72,149,1715"
"24,Md,Maryland,55,87,1277"
"21,Ky,Kentucky,55,132,1233"
"01,Al,Alabama,49,115,1037"
"28,Ms,Mississippi,43,118,1066"
"25,Ma,Massachusetts,40,66,796"
"34,NJ,New Jersey,38,70,900"
"45,SC,South Carolina,38,90,958"
"15,Hi,Hawaii,37,63,899"
"54,WV,West Virginia,27,50,734"
"23,Me,Maine,22,53,526"
"09,Ct,Connecticut,18,36,450"
"50,Vt,Vermont,15,28,338"
"33,NH,New Hampshire,15,22,393"
"11,DC,District of Columbia,10,12,228"
"10,De,Delaware,7,18,177"
"56,Wy S,tate Non-Migrant,159022,380144,5309739"
