"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,27-Minnesota,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Minnesota,37766,68900,1161426"
"55,Wi,Wisconsin,5536,10270,157106"
"38,ND,North Dakota,2804,4774,54162"
"06,Ca,California,2509,3938,74535"
"17,Il,Illinois,2052,3716,76474"
"48,Tx,Texas,1986,4090,62294"
"19,Ia,Iowa,1943,3803,49496"
"12,Fl,Florida,1658,2948,76740"
"04,Az,Arizona,1532,2557,45359"
"08,Co,Colorado,1530,2544,41042"
"46,SD,South Dakota,1504,2775,40424"
"53,Wa,Washington,1118,1923,31516"
"57,FR,Foreign,1082,1886,30837"
"26,Mi,Michigan,836,1651,28119"
"29,Mo,Missouri,706,1482,25299"
"36,NY,New York,645,1043,19958"
"39,Oh,Ohio,600,1165,21678"
"51,Va,Virginia,596,1080,20945"
"37,NC,North Carolina,562,1063,22180"
"13,Ga,Georgia,558,1086,24806"
"31,Ne,Nebraska,534,1118,16656"
"18,In,Indiana,523,1087,17771"
"41,Or,Oregon,456,763,11521"
"20,Ks,Kansas,447,948,17222"
"30,Mt,Montana,422,835,12108"
"32,Nv,Nevada,422,717,12869"
"42,Pa,Pennsylvania,419,845,17177"
"47,Tn,Tennessee,414,882,15526"
"25,Ma,Massachusetts,370,611,14819"
"40,Ok,Oklahoma,297,623,7201"
"24,Md,Maryland,288,496,10989"
"02,Ak,Alaska,287,484,6168"
"34,NJ,New Jersey,285,539,14029"
"35,NM,New Mexico,268,451,6967"
"15,Hi,Hawaii,248,401,6127"
"05,Ar,Arkansas,246,497,7206"
"21,Ky,Kentucky,236,439,6608"
"49,Ut,Utah,227,429,5521"
"16,Id,Idaho,202,380,4972"
"56,Wy,Wyoming,183,333,5329"
"09,Ct,Connecticut,176,333,12787"
"01,Al,Alabama,170,337,4709"
"45,SC,South Carolina,168,323,5098"
"22,La,Louisiana,167,295,4309"
"28,Ms,Mississippi,129,241,2930"
"11,DC,District of Columbia,120,137,3120"
"23,Me,Maine,75,137,2030"
"33,NH,New Hampshire,67,119,2196"
"44,RI,Rhode Island,53,90,1363"
"50,Vt,Vermont,45,86,1248"
"54,WV,West Virginia,38,89,1098"
"10,De,Delaware,27,41,782"
"27,Mn S,tate Non-Migrant,1623682,3659275,60551310"
