"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,18-Indiana,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Indiana,52568,103320,1507111"
"17,Il,Illinois,6563,12103,189208"
"12,Fl,Florida,5325,9826,153216"
"39,Oh,Ohio,4633,9298,138719"
"21,Ky,Kentucky,4233,8477,99010"
"26,Mi,Michigan,3739,7783,115222"
"48,Tx,Texas,2708,5632,74831"
"06,Ca,California,2288,3871,61092"
"47,Tn,Tennessee,1903,4057,46569"
"57,FR,Foreign,1481,2732,31151"
"13,Ga,Georgia,1463,2928,38161"
"37,NC,North Carolina,1269,2517,37562"
"04,Az,Arizona,1239,2329,34756"
"29,Mo,Missouri,1199,2581,39622"
"51,Va,Virginia,1098,2123,29944"
"55,Wi,Wisconsin,1059,2246,35603"
"08,Co,Colorado,1047,1921,29489"
"42,Pa,Pennsylvania,931,2038,47143"
"36,NY,New York,844,1515,24523"
"27,Mn,Minnesota,698,1479,24878"
"01,Al,Alabama,692,1491,17070"
"45,SC,South Carolina,622,1213,17636"
"53,Wa,Washington,615,1142,14204"
"05,Ar,Arkansas,511,1162,12566"
"20,Ks,Kansas,471,1040,15445"
"24,Md,Maryland,461,886,15997"
"19,Ia,Iowa,454,985,14032"
"40,Ok,Oklahoma,440,931,10105"
"34,NJ,New Jersey,401,797,24364"
"22,La,Louisiana,381,745,8667"
"32,Nv,Nevada,372,688,9158"
"28,Ms,Mississippi,364,762,7462"
"25,Ma,Massachusetts,348,584,11684"
"54,WV,West Virginia,277,606,8024"
"15,Hi,Hawaii,263,445,5810"
"35,NM,New Mexico,253,479,5286"
"41,Or,Oregon,230,424,6076"
"31,Ne,Nebraska,230,483,6423"
"49,Ut,Utah,216,478,6373"
"09,Ct,Connecticut,213,440,14369"
"02,Ak,Alaska,154,302,3226"
"16,Id,Idaho,120,265,3047"
"30,Mt,Montana,109,226,2416"
"56,Wy,Wyoming,93,214,1973"
"38,ND,North Dakota,93,196,1787"
"11,DC,District of Columbia,86,102,1500"
"46,SD,South Dakota,82,204,2086"
"23,Me,Maine,81,149,2112"
"33,NH,New Hampshire,62,119,2664"
"10,De,Delaware,60,125,1666"
"44,RI,Rhode Island,58,119,2315"
"50,Vt,Vermont,36,62,869"
"18,In S,tate Non-Migrant,2031730,4650142,69271165"
