"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,28-Mississippi,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Mississippi,27101,58512,620487"
"47,Tn,Tennessee,3731,7765,85726"
"22,La,Louisiana,2937,6387,68253"
"01,Al,Alabama,2610,5716,63472"
"48,Tx,Texas,2358,5179,57530"
"12,Fl,Florida,1967,4108,48797"
"13,Ga,Georgia,1559,3266,34806"
"57,FR,Foreign,1244,2561,24327"
"06,Ca,California,1015,2127,20978"
"05,Ar,Arkansas,1008,2426,25981"
"17,Il,Illinois,812,1775,12205"
"51,Va,Virginia,755,1720,18864"
"37,NC,North Carolina,706,1531,19597"
"29,Mo,Missouri,511,1128,10591"
"45,SC,South Carolina,407,902,9501"
"40,Ok,Oklahoma,364,784,6772"
"39,Oh,Ohio,358,805,7824"
"08,Co,Colorado,346,694,7059"
"26,Mi,Michigan,345,726,5979"
"18,In,Indiana,316,730,5924"
"21,Ky,Kentucky,309,690,7544"
"53,Wa,Washington,277,599,7384"
"36,NY,New York,275,507,4957"
"42,Pa,Pennsylvania,268,620,7020"
"55,Wi,Wisconsin,268,642,4245"
"20,Ks,Kansas,218,517,4997"
"24,Md,Maryland,215,442,4733"
"04,Az,Arizona,187,433,4094"
"27,Mn,Minnesota,142,331,3102"
"35,NM,New Mexico,126,249,2515"
"15,Hi,Hawaii,119,263,2355"
"34,NJ,New Jersey,117,241,3126"
"02,Ak,Alaska,108,252,2658"
"32,Nv,Nevada,108,219,2851"
"19,Ia,Iowa,105,231,2048"
"25,Ma,Massachusetts,91,178,2883"
"31,Ne,Nebraska,91,233,1875"
"49,Ut,Utah,87,209,2065"
"41,Or,Oregon,86,179,1981"
"54,WV,West Virginia,65,159,1778"
"16,Id,Idaho,63,132,1287"
"09,Ct,Connecticut,60,133,3399"
"30,Mt,Montana,54,120,1047"
"10,De,Delaware,54,101,1214"
"38,ND,North Dakota,50,106,1105"
"11,DC,District of Columbia,49,69,893"
"23,Me,Maine,40,89,660"
"56,Wy,Wyoming,36,74,601"
"44,RI,Rhode Island,25,41,515"
"46,SD,South Dakota,23,51,436"
"33,NH,New Hampshire,22,48,650"
"50,Vt,Vermont,14,24,283"
"28,Ms S,tate Non-Migrant,820032,1988706,21180510"
