"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,55-Wisconsin,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Wisconsin,38808,70304,1092452"
"17,Il,Illinois,5775,10147,166399"
"27,Mn,Minnesota,5668,9524,144328"
"12,Fl,Florida,2596,4529,88800"
"06,Ca,California,2171,3393,54135"
"26,Mi,Michigan,1779,3630,51942"
"48,Tx,Texas,1764,3380,46134"
"04,Az,Arizona,1468,2529,38951"
"08,Co,Colorado,1206,1973,26381"
"19,Ia,Iowa,1175,2288,32290"
"57,FR,Foreign,1076,1824,23042"
"18,In,Indiana,965,2098,31179"
"13,Ga,Georgia,775,1533,24351"
"53,Wa,Washington,759,1288,19380"
"29,Mo,Missouri,756,1628,23199"
"39,Oh,Ohio,740,1423,28017"
"37,NC,North Carolina,712,1355,21534"
"36,NY,New York,657,1118,21681"
"51,Va,Virginia,656,1213,19476"
"47,Tn,Tennessee,595,1239,19418"
"42,Pa,Pennsylvania,473,977,19612"
"05,Ar,Arkansas,467,979,14177"
"32,Nv,Nevada,445,762,10652"
"41,Or,Oregon,376,670,9594"
"21,Ky,Kentucky,375,786,11480"
"45,SC,South Carolina,330,652,11295"
"25,Ma,Massachusetts,323,514,10911"
"20,Ks,Kansas,314,668,9132"
"40,Ok,Oklahoma,291,552,7018"
"24,Md,Maryland,291,514,8265"
"01,Al,Alabama,283,619,8561"
"28,Ms,Mississippi,277,606,4321"
"22,La,Louisiana,264,470,5594"
"34,NJ,New Jersey,256,497,11949"
"35,NM,New Mexico,251,449,5119"
"46,SD,South Dakota,238,447,6544"
"31,Ne,Nebraska,237,444,7103"
"15,Hi,Hawaii,233,352,4976"
"30,Mt,Montana,231,432,4543"
"02,Ak,Alaska,212,362,4207"
"49,Ut,Utah,203,383,4798"
"38,ND,North Dakota,188,365,4236"
"11,DC,District of Columbia,182,193,2871"
"09,Ct,Connecticut,170,297,6464"
"16,Id,Idaho,145,279,4115"
"56,Wy,Wyoming,124,251,3342"
"33,NH,New Hampshire,79,151,3016"
"23,Me,Maine,67,138,1704"
"54,WV,West Virginia,57,131,1511"
"50,Vt,Vermont,50,84,1590"
"10,De,Delaware,44,99,1875"
"44,RI,Rhode Island,39,69,1240"
"55,Wi S,tate Non-Migrant,1848238,4143125,64290688"
