"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,38-NorthDakota,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,North Dakota,10628,21501,258967"
"27,Mn,Minnesota,2935,5348,68179"
"46,SD,South Dakota,672,1438,15647"
"57,FR,Foreign,605,1307,12222"
"08,Co,Colorado,499,904,10725"
"30,Mt,Montana,472,926,9569"
"48,Tx,Texas,448,1015,12114"
"06,Ca,California,429,843,10796"
"53,Wa,Washington,336,617,7668"
"04,Az,Arizona,272,477,6696"
"12,Fl,Florida,260,554,7609"
"17,Il,Illinois,236,502,5920"
"55,Wi,Wisconsin,231,513,6511"
"19,Ia,Iowa,192,402,5073"
"31,Ne,Nebraska,179,418,5523"
"56,Wy,Wyoming,176,413,4726"
"39,Oh,Ohio,148,326,3854"
"37,NC,North Carolina,145,291,3383"
"32,Nv,Nevada,139,252,3058"
"29,Mo,Missouri,138,298,3667"
"20,Ks,Kansas,130,263,3099"
"26,Mi,Michigan,128,279,3118"
"51,Va,Virginia,125,301,4292"
"18,In,Indiana,119,253,3273"
"36,NY,New York,117,244,2821"
"16,Id,Idaho,114,246,2736"
"41,Or,Oregon,114,236,2563"
"13,Ga,Georgia,108,260,2600"
"40,Ok,Oklahoma,102,242,2796"
"02,Ak,Alaska,100,188,2461"
"42,Pa,Pennsylvania,94,212,2856"
"47,Tn,Tennessee,88,194,1906"
"35,NM,New Mexico,79,177,2286"
"01,Al,Alabama,76,170,2061"
"49,Ut,Utah,73,185,2001"
"24,Md,Maryland,60,110,1369"
"05,Ar,Arkansas,52,139,1641"
"34,NJ,New Jersey,51,99,1202"
"45,SC,South Carolina,49,125,1527"
"21,Ky,Kentucky,48,106,1346"
"22,La,Louisiana,45,101,1114"
"25,Ma,Massachusetts,43,89,1167"
"15,Hi,Hawaii,39,70,936"
"28,Ms,Mississippi,36,98,1006"
"54,WV,West Virginia,29,78,779"
"23,Me,Maine,29,59,1218"
"09,Ct,Connecticut,25,48,784"
"11,DC,District of Columbia,13,20,318"
"33,NH,New Hampshire,10,19,248"
"10,De,Delaware,10,24,224"
"50,Vt,Vermont,7,15,208"
"44,RI,Rhode Island,3,7,71"
"38,ND S,tate Non-Migrant,224627,521264,6856110"
