"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,53-Washington,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Washington,63846,130649,1689175"
"06,Ca,California,10049,20114,258178"
"41,Or,Oregon,8923,16915,225812"
"57,FR,Foreign,4100,8495,104019"
"16,Id,Idaho,3574,7508,92200"
"48,Tx,Texas,3371,7728,94646"
"04,Az,Arizona,2614,5070,65883"
"30,Mt,Montana,2206,4598,51434"
"08,Co,Colorado,2048,4081,67655"
"02,Ak,Alaska,1973,3863,53736"
"12,Fl,Florida,1861,3830,55316"
"15,Hi,Hawaii,1229,2443,30439"
"32,Nv,Nevada,1193,2293,28887"
"49,Ut,Utah,1136,2678,30001"
"36,NY,New York,1116,1989,28024"
"51,Va,Virginia,1109,2424,34959"
"17,Il,Illinois,1086,2268,31069"
"37,NC,North Carolina,1019,2244,25677"
"27,Mn,Minnesota,958,1918,28924"
"13,Ga,Georgia,935,2124,29216"
"26,Mi,Michigan,795,1619,20947"
"39,Oh,Ohio,783,1656,21663"
"29,Mo,Missouri,771,1635,19687"
"42,Pa,Pennsylvania,731,1468,21490"
"40,Ok,Oklahoma,679,1533,15164"
"55,Wi,Wisconsin,648,1380,17074"
"35,NM,New Mexico,604,1183,16553"
"25,Ma,Massachusetts,591,946,17234"
"20,Ks,Kansas,571,1315,15482"
"47,Tn,Tennessee,559,1279,15072"
"24,Md,Maryland,547,1172,19877"
"22,La,Louisiana,529,1173,11141"
"18,In,Indiana,527,1129,12877"
"19,Ia,Iowa,445,926,10173"
"01,Al,Alabama,439,981,11509"
"21,Ky,Kentucky,422,898,9993"
"34,NJ,New Jersey,422,831,12642"
"05,Ar,Arkansas,382,891,8750"
"31,Ne,Nebraska,358,804,9303"
"56,Wy,Wyoming,339,731,7737"
"45,SC,South Carolina,333,785,9457"
"09,Ct,Connecticut,287,596,11445"
"38,ND,North Dakota,279,533,5465"
"46,SD,South Dakota,272,555,5701"
"28,Ms,Mississippi,234,538,4948"
"23,Me,Maine,170,364,4386"
"11,DC,District of Columbia,161,229,4276"
"33,NH,New Hampshire,130,226,3661"
"54,WV,West Virginia,106,242,2670"
"50,Vt,Vermont,93,162,2773"
"44,RI,Rhode Island,78,151,2202"
"10,De,Delaware,61,135,1748"
"53,Wa S,tate Non-Migrant,1833601,4031130,68545302"
