"MARYLAND INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Maryland (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"24.0","96.0","MD","MD Total Mig - US & For","74113.0","133634.0","3924063.0"
"24.0","97.0","MD","MD Total Mig - US","72082.0","129109.0","3804278.0"
"24.0","98.0","MD","MD Total Mig - Foreign","2031.0","4525.0","119785.0"
"24.0","24.0","MD","MD Non-Migrants","2143288.0","4518786.0","154211938.0"
"24.0","51.0","VA","VIRGINIA","10834.0","19417.0","630087.0"
"24.0","11.0","DC","DISTRICT OF COLUMBIA","8337.0","15005.0","450844.0"
"24.0","42.0","PA","PENNSYLVANIA","6811.0","11011.0","328188.0"
"24.0","36.0","NY","NEW YORK","4645.0","7668.0","234091.0"
"24.0","12.0","FL","FLORIDA","4622.0","8254.0","219429.0"
"24.0","6.0","CA","CALIFORNIA","3641.0","6696.0","214737.0"
"24.0","34.0","NJ","NEW JERSEY","3510.0","6190.0","241778.0"
"24.0","37.0","NC","NORTH CAROLINA","3017.0","5716.0","131225.0"
"24.0","48.0","TX","TEXAS","2792.0","5520.0","149870.0"
"24.0","13.0","GA","GEORGIA","2304.0","4483.0","102515.0"
"24.0","10.0","DE","DELAWARE","2042.0","3642.0","80041.0"
"24.0","57.0","FR","Foreign","2031.0","4525.0","119785.0"
"24.0","39.0","OH","OHIO","1543.0","2612.0","80524.0"
"24.0","54.0","WV","WEST VIRGINIA","1422.0","2585.0","54869.0"
"24.0","25.0","MA","MASSACHUSETTS","1389.0","2205.0","87516.0"
"24.0","17.0","IL","ILLINOIS","1303.0","2253.0","86914.0"
"24.0","26.0","MI","MICHIGAN","1113.0","1885.0","53405.0"
"24.0","45.0","SC","SOUTH CAROLINA","1040.0","1861.0","41744.0"
"24.0","47.0","TN","TENNESSEE","840.0","1631.0","46222.0"
"24.0","8.0","CO","COLORADO","820.0","1577.0","44728.0"
"24.0","53.0","WA","WASHINGTON","812.0","1672.0","47734.0"
"24.0","4.0","AZ","ARIZONA","775.0","1472.0","43304.0"
"24.0","9.0","CT","CONNECTICUT","759.0","1294.0","48853.0"
"24.0","18.0","IN","INDIANA","569.0","1023.0","29794.0"
"24.0","15.0","HI","HAWAII","539.0","1237.0","30423.0"
"24.0","29.0","MO","MISSOURI","509.0","893.0","25984.0"
"24.0","27.0","MN","MINNESOTA","470.0","781.0","22179.0"
"24.0","1.0","AL","ALABAMA","461.0","885.0","21603.0"
"24.0","22.0","LA","LOUISIANA","422.0","778.0","17054.0"
"24.0","32.0","NV","NEVADA","398.0","770.0","19481.0"
"24.0","55.0","WI","WISCONSIN","392.0","667.0","22194.0"
"24.0","21.0","KY","KENTUCKY","390.0","750.0","19928.0"
"24.0","41.0","OR","OREGON","295.0","499.0","16260.0"
"24.0","20.0","KS","KANSAS","280.0","605.0","14642.0"
"24.0","40.0","OK","OKLAHOMA","278.0","573.0","13371.0"
"24.0","49.0","UT","UTAH","277.0","584.0","12200.0"
"24.0","44.0","RI","RHODE ISLAND","258.0","424.0","13232.0"
"24.0","35.0","NM","NEW MEXICO","257.0","490.0","14798.0"
"24.0","19.0","IA","IOWA","247.0","417.0","12255.0"
"24.0","28.0","MS","MISSISSIPPI","239.0","475.0","10647.0"
"24.0","33.0","NH","NEW HAMPSHIRE","226.0","360.0","12078.0"
"24.0","23.0","ME","MAINE","210.0","371.0","9882.0"
"24.0","2.0","AK","ALASKA","172.0","385.0","9338.0"
"24.0","5.0","AR","ARKANSAS","172.0","339.0","9083.0"
"24.0","31.0","NE","NEBRASKA","164.0","316.0","8354.0"
"24.0","50.0","VT","VERMONT","128.0","191.0","5954.0"
"24.0","16.0","ID","IDAHO","100.0","193.0","4835.0"
"24.0","30.0","MT","MONTANA","79.0","133.0","2994.0"
"24.0","46.0","SD","SOUTH DAKOTA","69.0","129.0","2975.0"
"24.0","38.0","ND","NORTH DAKOTA","58.0","106.0","2282.0"
"24.0","56.0","WY","WYOMING","52.0","86.0","1839.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
