" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,50-Vermont,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,VT,VT Total Mig - US & For,10113,15548,412719"
"97,VT,VT Total Mig - US,9875,15195,406848"
"98,VT,VT Total Mig - Foreign,238,353,5871"
"50,VT,VT Non-Migrants,257494,509406,13737837"
"33,NH,NEW HAMPSHIRE,1373,2143,53660"
"36,NY,NEW YORK,1228,1881,44967"
"25,MA,MASSACHUSETTS,1183,1609,52123"
"12,FL,FLORIDA,763,1221,40997"
"06,CA,CALIFORNIA,463,634,18428"
"37,NC,NORTH CAROLINA,428,727,17418"
"09,CT,CONNECTICUT,376,564,16993"
"23,ME,MAINE,367,549,12410"
"51,VA,VIRGINIA,308,502,12633"
"08,CO,COLORADO,291,384,9251"
"42,PA,PENNSYLVANIA,263,383,9992"
"57,FR,Foreign,238,353,5871"
"48,TX,TEXAS,208,375,10209"
"53,WA,WASHINGTON,182,272,7128"
"45,SC,SOUTH CAROLINA,166,313,6964"
"34,NJ,NEW JERSEY,159,229,8058"
"41,OR,OREGON,155,216,4601"
"04,AZ,ARIZONA,134,202,9386"
"47,TN,TENNESSEE,124,237,4844"
"39,OH,OHIO,119,201,5138"
"13,GA,GEORGIA,115,180,4957"
"44,RI,RHODE ISLAND,113,177,4425"
"24,MD,MARYLAND,108,179,4657"
"17,IL,ILLINOIS,103,139,3881"
"49,UT,UTAH,97,142,2928"
"11,DC,DISTRICT OF COLUMBIA,86,99,3008"
"26,MI,MICHIGAN,75,128,2898"
"27,MN,MINNESOTA,66,125,3221"
"30,MT,MONTANA,62,74,1682"
"18,IN,INDIANA,57,101,2551"
"21,KY,KENTUCKY,56,100,2230"
"55,WI,WISCONSIN,52,100,2812"
"02,AK,ALASKA,48,69,1706"
"29,MO,MISSOURI,48,76,2007"
"35,NM,NEW MEXICO,46,89,1717"
"15,HI,HAWAII,43,75,1966"
"01,AL,ALABAMA,38,76,1655"
"32,NV,NEVADA,38,65,1214"
"16,ID,IDAHO,37,64,2002"
"20,KS,KANSAS,37,62,1073"
"05,AR,ARKANSAS,35,54,1019"
"56,WY,WYOMING,34,42,846"
"40,OK,OKLAHOMA,32,63,830"
"22,LA,LOUISIANA,30,45,635"
"19,IA,IOWA,28,51,1266"
"28,MS,MISSISSIPPI,23,51,1190"
"10,DE,DELAWARE,21,30,1003"
"54,WV,WEST VIRGINIA,21,40,656"
"31,NE,NEBRASKA,14,20,537"
"46,SD,SOUTH DAKOTA,12,20,806"
"38,ND,NORTH DAKOTA,10,17,270"
